순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
298,KOSPI,000880,한화,120200.0,176200.0,46.59%
299,KOSPI,064350,현대로템,213000.0,311944.0,46.45%
300,KOSDAQ,068930,디지털대성,7860.0,11500.0,46.31%
301,KOSPI,111770,영원무역,82400.0,120556.0,46.31%
302,KOSPI,064960,SNT모티브,31100.0,45500.0,46.30%
303,KOSDAQ,080580,오킨스전자,19140.0,28000.0,46.29%
304,KOSDAQ,067160,SOOP,50700.0,74167.0,46.29%
305,KOSPI,097950,CJ제일제당,202000.0,295455.0,46.26%
306,KOSDAQ,295310,에이치브이엠,93000.0,136000.0,46.24%
307,KOSPI,010060,OCI홀딩스,283000.0,413750.0,46.20%
308,KOSPI,183190,아세아시멘트,10260.0,15000.0,46.20%
309,KOSPI,248070,솔루엠,18920.0,27600.0,45.88%
310,KOSDAQ,322310,오로스테크놀로지,29500.0,43000.0,45.76%
311,KOSDAQ,100120,뷰웍스,25850.0,37667.0,45.71%
312,KOSPI,071840,롯데하이마트,6800.0,9900.0,45.59%
313,KOSPI,139480,이마트,90200.0,131200.0,45.45%
314,KOSPI,011760,현대코퍼레이션,25450.0,37000.0,45.38%
315,KOSDAQ,080160,모두투어,9630.0,14000.0,45.38%
316,KOSPI,105630,한세실업,8950.0,13000.0,45.25%
317,KOSDAQ,092730,네오팜,17230.0,25000.0,45.10%
318,KOSPI,005090,SGC에너지,56300.0,81667.0,45.06%
319,KOSDAQ,104830,원익머트리얼즈,48300.0,70000.0,44.93%
320,KOSPI,000080,하이트진로,16020.0,23200.0,44.82%
321,KOSPI,020150,롯데에너지머티리얼즈,56800.0,82238.0,44.79%
322,KOSPI,006260,LS,419500.0,605556.0,44.35%
323,KOSDAQ,278280,천보,43800.0,63000.0,43.84%
324,KOSPI,021240,코웨이,91300.0,131250.0,43.76%
325,KOSPI,017800,현대엘리베이터,83500.0,120000.0,43.71%
326,KOSPI,178920,PI첨단소재,23550.0,33750.0,43.31%
327,KOSDAQ,036810,에프에스티,33500.0,48000.0,43.28%
328,KOSPI,025540,한국단자,76800.0,110000.0,43.23%
329,KOSPI,036570,NC,261500.0,374167.0,43.08%
330,KOSPI,004370,농심,377500.0,540000.0,43.05%
331,KOSPI,005830,DB손해보험,152400.0,217938.0,43.00%
332,KOSDAQ,033160,엠케이전자,29400.0,42000.0,42.86%
333,KOSDAQ,119610,인터로조,18200.0,26000.0,42.86%
334,KOSPI,004020,현대제철,36650.0,52350.0,42.84%
335,KOSDAQ,293490,카카오게임즈,9130.0,13000.0,42.39%
336,KOSPI,453340,현대그린푸드,17580.0,25000.0,42.21%
337,KOSPI,089860,롯데렌탈,31450.0,44625.0,41.89%
338,KOSPI,108670,LX하우시스,34700.0,49000.0,41.21%
339,KOSPI,111110,호전실업,6730.0,9500.0,41.16%
340,KOSDAQ,083500,에프엔에스테크,19780.0,27900.0,41.05%
341,KOSDAQ,140860,파크시스템스,258500.0,364143.0,40.87%
342,KOSPI,103590,일진전기,88000.0,123750.0,40.62%
343,KOSPI,009540,HD한국조선해양,422000.0,592857.0,40.49%
344,KOSDAQ,486990,노타,27100.0,38000.0,40.22%
345,KOSDAQ,236200,슈프리마,45000.0,63000.0,40.00%
346,KOSPI,161890,한국콜마,87000.0,121789.0,39.99%
347,KOSDAQ,060370,LS마린솔루션,31200.0,43667.0,39.96%
348,KOSDAQ,251970,펌텍코리아,37400.0,52333.0,39.93%
349,KOSPI,010140,삼성중공업,28650.0,40050.0,39.79%
350,KOSPI,009450,경동나비엔,71200.0,99500.0,39.75%
351,KOSPI,009830,한화솔루션,38700.0,53992.0,39.51%
352,KOSPI,002990,금호건설,4015.0,5600.0,39.48%
353,KOSPI,462870,시프트업,32300.0,45000.0,39.32%
354,KOSDAQ,011560,세보엠이씨,23000.0,32000.0,39.13%
355,KOSDAQ,056190,에스에프에이,27700.0,38500.0,38.99%
356,KOSDAQ,277810,레인보우로보틱스,660000.0,915000.0,38.64%
357,KOSPI,028670,팬오션,5340.0,7400.0,38.58%
